Company,Type,Address Line 1,City,State,Zip,Phone,Email,Contact Name,CRM Stage,Standard Labor Rate,Warranty Labor Rate,Website,High Priority,Notes
Concours Motors Auto Repairs,REPAIR SHOP,2237 E Thompson Blvd,Ventura,CA,93001,(805) 641-3701,sixto@concoursmotorsventura.com,patrick,Contacted,229.-251.,,,,"11/17 Sixto asked for info, will discus with Patrick.; 11/19email bounced back, 11/26 no change"
Conejo Valley Auto Center,REPAIR SHOP,2561 Teller Rd,Thousand Oaks,,91320,(805) 342-0606,,,Contacted,,,,,8/13 LVM
Convoy Auto Repair,REPAIR SHOP,3909 Convoy St,San Diego,CA,92111,(858) 217-4279,marketing@convoyautorepair.com,David,Contacted,,,https://eliteautomotiveservices.com/,Yes,5/9 Advisor asked for info owner wasn't in.
Cornerstone Automotive,REPAIR SHOP,3965 Mission Ave #7,Oceanside,,92058,(760) 230-9939,cornerstoneautomotive2019@gmail.com,Niko savsavoji,In Review,,,https://elkgrovebrake.com/,,"5/9 Niko was interested asked for info, sent contract too"
Corral's M & B Repair,REPAIR SHOP,22620 Goldencrest DR #126,Moreno Valley,,92553,(951) 653-7945,silvestercorral@yahoo.com,Silvestre Corral,Contacted,,,,,"5/9 Owner gone for the weekend, sent info F/U next week"
Country Tire & Wheel,REPAIR SHOP,7118 Rosedale Hwy,Bakersfield,CA,93308,(661) 589-2893,,,Lead,,,,,
Covina Complete Auto Repair,REPAIR SHOP,859 W Covina Blvd,Covina,CA,91722,(626) 699-2348,,,Contacted,,,,,"10/17 Joe sounded interested, Joe will call me back was busy when we talked."
Craftsman Collision USA,BODYSHOP,3250 E Airport Way,Long Beach,CA,90806,(562) 426-2693,melanie@craftsmancollision.com;  jhernandez@craftsmancollision.com,,Contacted,,,,,"2/11 sent info email to melanie,"
CrashFix Inc,BODYSHOP,"1104 S Victory Blvd., Burbank CA 91502",Bubank,,,(818) 474-5250,alex@crashfix.com,Alex Ross,Contacted,,,,,4/23 info sent; 5/5 bodyshop only
D&M Automotive and Tow,REPAIR SHOP,2625 NE Vivion Rd suite a,Kansas City,MO,64119,(816) 569-6753,DMAutoKC@gmail.com,,Contacted,,,,,12/19 LVM
DPS Automotive,REPAIR SHOP,12070 Parklawn Drive North Bethesda,,MD,20852,(301) 997-5601,info.dpsautomotive@gmail.com,Ismet Kara,Contacted,160,160,,,4/7 Ismet was interested in learning more; sent info email & contract. shop is already starting to wrok on EV's and would like to do more...
Del Mar Car Care,REPAIR SHOP,155 Carmel Valley Rd,Del Mar,CA,92014,(858) 755-1652,info@delmarcarcare.com,sean or Bill,Lead,,,,,
Dennis' Auto Repair,REPAIR SHOP,1817 E Hammond Ave,Fresno,CA,93703,(559) 264-6443,serviceteam@dennisautofresno.com,Dennis,Contacted,214.65,,,,"4/13 Jose took info down, will have Dennis  call me back"
Dhillon Motorsports,REPAIR SHOP,646 Auzerais ave,,,,(408) 999-0699,smogmansj@gmail.com,Kathy - SA,Contacted,,,https://www.3vlove.com/,,"6/5 Kathy asked for infor to fwd to the owner, didn't want to provide owners first name (not allowed to)"
DI SABATO'S EV SPECIALISTS,REPAIR SHOP,2300 Kirkwood Ave Suite B,Naples,FL,34112,(239) 241-3577,Info@disabatos.com,,Contacted,,,,,"1/6 lLVM; 1/13 LVM- 1/13 shop called back sounded interested in partnership will review info &  get back to me; 1/14 shop replied to email, answered questions waiting for  LR confirmation to send out contract."
Dick's Automotive,REPAIR SHOP,1550 Tollhouse Rd,Clovis,CA,93611,(559) 202-0873,dicksautomotiveinc@gmail.com,Grant - president,Contacted,,,,,9/24 LVM;  9/26 Grant will discuss w/ the board and get back to me
DMC Automotive Repair,REPAIR SHOP,2325 E Thompson blvd,Ventura,,93003,(805) 652-2221,nancy.DMCauto@gmail.com; patrick@lbmautomotive.com,Nancy-front desk; J.R.- owner,Contacted,,,,Yes,"5/22 LVM; Nancy CB asked for info, 4 shops; 6/3 Nancy will have JR CB (has been out of town); 6/9 LM with SA; 8/13 spoke w/ Patrick asked me to resend info email, will make sure JR reviews."
Done With Care Auto Repair,REPAIR SHOP,5810 Merriam Dr.,Merriam,KS,66203,(913) 722-3466,david.roman@donewithcareautorepair.com,David Roman,Contacted,,,,,"12/10 Juan SA, provided owners email to send info.  they work on EV's currently"
Donovan Automotive Diagnostic & Service,REPAIR SHOP,2141 W Kennedy St,Madera,CA,93637,(559) 674-8207,,,Contacted,,,,,10/30 LVM
Drive Auto Care,REPAIR SHOP,148 N Cedros Ave #4,Solana Beach,CA,92075,(858) 793-0560,,Joseph;,Contacted,190,,,,4/13 Joseph will pass my info to GM
Duro EV,REPAIR SHOP,4902 New Bern Ave,Raleigh,NC,27610,(919) 275-2290,adurovey@gmail.com personal email;  info@duroev.com-shop email,Adam durovey,In Review,150,,,,"12/22 Adam's wife answered scheduled to open in January. sent info so they can review, will follow up in a week or two; 1/12 not ready to partner yet asked me to check in  mid/late Feb.  2/18 sent contract for Adam's review,"
Earthling Automovice,SPECIALIST,615 Bayshore Blvd San Francisco,San Fancisco,CA,94124,(415) 875-9030,,,Lead,,,,,
Easy Automotive,REPAIR SHOP,747 Lincoln Ave,San Rafael,CA,94901,(415) 532-2454,747easyautomotive@gmail.com,Mike,Contacted,219,,,,2/3 service advisor asked me to email Mike shop owner
EcoMax Auto Service,REPAIR SHOP,9555 Black Mountain Rd,San Diego,CA,92126,,,,Lead,,,,,
Economy Auto,REPAIR SHOP,1621 Railroad Ave,Clovis,CA,93612,(559) 233-1737,economyautocareclovis@gmail.com,adan,Contacted,140,,,,10/21 LVM; Adan is interested asked for more info.; 2/12 Adan stated he's selling shop
Eddy's Body Shop,BODYSHOP,650 S Webb Rd,Wichita,KS,67207,(316) 652-2135,,,Contacted,,,,,12/*29 316-652-2222 - Eddy's Toyota is  the corporate office call them 12/30
Edge Motorworks,REPAIR SHOP,45081 Freemont Blvd,Freemont,,,(650) 965-8337,info@edgeMW.co,Anthony Zwain,Contacted,,,,,12/5 Very interested. highly detailed Shop. 12/10 Left VM. Can also Text Message to 408-548-0366. 12/19 sent email f/u.; 5/5 sent email & txt
EGA Service Center,REPAIR SHOP,211 Hendrick St,Stockton,KS,67669,(785) 425-0535,"egaservicecenter@gmail.com
peablobice2014@gmail.com",bob,Contacted,,,,,"1/7 Bob service advisor, interested asked for info email to discuss w/ owner."
Electric Ave,REPAIR SHOP,2300 Hyperion Ave,SilverLake,,,(323) 665-8807,info@electricsilverlake.com,Koko,Contacted,,,,Yes,"4/24- 2 shops Silver Lake, & Thousand Oaks; 5/5 advisor said Koko will get in touch if interested; 5/16 left msg w/ advisor, sent F/u email; 6/9 Mike said Koko's not in not sure where he is or when he will be in shop, then hung up."
Electric Ave,REPAIR SHOP,389 Thousand Oaks BLVD,Thousand Oaks,,,(805) 660-4310,electricavenathan@gmail.com,Koko,In Review,,,https://www.electriccitysocal.com/,,4/24 - sent info; 5/5 advisor said Koko will get in touch if interested; 5/16  LVM sent F/U email; 6/9 LVM asking for a CB
Electric City / Hybrid Auto Club,REPAIR SHOP,775 W San Bernardino Rd,Covina,CA,91722,(626) 646-3598,cesar@hybridautoclub.org,cesar laro,Contacted,,,,,"5/6 now electric city, Cesar will CB; 5/13 LVM/resent info;  5/22 lvm;  7/7 online lead came in called Cesar ; 8/8 call no answer/ sent a text asking for sometime to chat.   Shop called back, they're doing Mobile diags, shop mgr will discus w/ Cesar owner.  11/6"
Electric Laboratories complete car care,SPECIALIST,133 East Sierra Ave,Fresno,,,(559) 474-8098,elaboratories@sbcglobal.-old MGR's email.....  smcbride.electriclab@gmail.com-new MGR,Denis,Contacted,,,,Yes,"5/13 GM Richard said shops lookking to get into EV's, interested; 8/13 followed up waiting on response or CB; 10/30 left msg for Richard asking for a callback... 11/04 Richard retired - Sean is the new GM"
Electrics Auto,REPAIR SHOP,401 W Gap Creek Rd,Greer,SC,29651,(864) 881-2201,,Matt,Contacted,,,,,"12/18 Matt isn't interested in a partnership right now, too busy, not enough employees to take on a partnership, maybe Q3-4 2026, check back in"
Electron Automotive,REPAIR SHOP,969 N Batavia St,Orange,CA,92867,(714) 970-4367,info@electronautomotive.com,micheal,In Review,,,,Yes,"4/25 sent info, 5/5 answered ?'s Cesar had, asked for contract to review; 5/14 F/U email sent; 11/4 Cesar no longer works here, Michael is the new MGR sent an email & left my contact info w/ the advisor."
Elk Grove Brake & Suspension,REPAIR SHOP,10119 Iron Rock Way.,Elk Grove,CA,95624,(916) 690-8830,elkgrovebrake@gmail.com,Sorin & Gorge,Contacted,165,,,Yes,4/23 LVM:  5/5 advisor suggested i resend & call back wed 5/7;  10/8 Sorin sounded interested asked for email
Elk Grove Transmission & Auto Repair,REPAIR SHOP,9797 Dino Dr,Elk Grove,,,(916) 714-9795,karl_Guidotti@yahoo.com,Karl,Contacted,,,,Yes,"6/2 not sold, asked for more info; Karl asked me to resend info to fwrd to owner;  10/8 Karl took my # down will pass it along to Owner"
Empire Automotive Services,REPAIR SHOP,28160 Industrial Blvd,Hayward,,,(510) 592-5753,kunal@empireautomotiveservices.com,Kunal,In Review,,,,,4/23 sent email; 5/5 asked for contract will look over w/ brother and get back to us; 8/22 scheduled call at 4pm currently busy
energized - EV,SPECIALIST,187 Pacific St.,Pomona,CA,91768,(951) 732-8697,steve@energized-ev.com,Steve fu,In Review,200,200,https://www.globemotorsports.com/,Yes,"5/16 LVM, sent email, confirm location & LR; 5/16 Steve  CB went over RW is interested asked for contract; 7/16 LVM & email; 8/26 LVM askin for a CB; 10/23 will CB busy w/ a CX"
Escondidio Auto Pros,REPAIR SHOP,1181 N Escondido Blvd,Escondido,,92026,(760) 546-7256,James@escondidoautopros.com,James,Contacted,,,,,"5/9 James on a trip, sent info; 10/31 James left for the day, sent an email."
Euro Auto Repair,REPAIR SHOP,12401 Prairie Ave,Hawthorne,CA,90250,(310) 672-6415,,,Lead,,,,,11/13 Micheal from Venice Auto is thinking about purchasaing this location; if he does he wants to get it on VF program.
Eurobahn,REPAIR SHOP,101 S Swing Rd,Greensboro,NC,27409,(336) 542-3555,,,Lead,,,,,
Euro Car Doctor,REPAIR SHOP,3005 Harbor Boulevard,Costa Mesa,,,(714) 617-7710,cmservice@eurocardoctor.net  Tony@eurocardoctor.net,tony- owner  brando-advisor,In Review,,,,Yes,"4/23 advisor req. email will frwd to owner. 5/5 Tony will callback;  5/14Tony is out of the contry for 3 week try back in 3WKs; 6/9 Tony asked for contract to move fwrd, just getting back from Vac will look over & get back to me this week. 6/13 LM w/ Alexander to have TOny CMB. 8/26 sent Tony an email, waiting on a CB or response"
Euro Car Doctor,SPECIALIST,3070 Main St,Irvine,,,(949) 288-2373,cmservice@eurocardoctor.net,Alexander.  Service Manager is Steven Miller,In Review,,,https://www.herbsgarageca.com/,Yes,"3/5/25 Spoke with Alexander- Service advisor.  Very enthusiastice about our service.  Wanted email right away.  2 locations - Irvine and CM.  just recently completed a drive unit.  want more customers.  sent email follow up - Service manager is Steven Miller. Locations in Irvine and Costa Mesa. third location opening soon. 3/10/25 spoke with Steven Miller. Was busy - said he will get back to me.; 5/6 waiting on alexanders CB; 5/14Tony is out of the contry for 3 week try back in 3WKs; 6/9 Tony asked for contract to move fwrd, just getting back from Vac will look over & get back to me this week. 8/26 Evan asked me to check in Costa Mesa for Tony"
Euro Car Doctor,REPAIR SHOP,TBD,,,,,service@eurocardoctor.net,evan- advisor  Tony-owner,In Review,,,,Yes,"4/23 advisor req. email will frwd to owner. 5/5 Tony will callback;  5/14Tony is out of the contry for 3 week try back in 3WKs; 6/9 Tony asked for contract to move fwrd, just getting back from Vac will look over & get back to me this week."
Euro Tec Auto,REPAIR SHOP,5476 W Mission Ave,Fresno,CA,93722,(559) 570-8228,,,Contacted,,,,,"4/13 Bal picked up & hung up, LVM"
EuroPros,REPAIR SHOP,1655 S West St,Wichita,KS,67213,(316) 250-5900,,,Lead,,,,,
EV + Auto Repair,REPAIR SHOP,9755 Glenoaks Blvd,Sun Valley,CA,91352,(818) 281-7757,info@evplusautorepair.com,Hovik,Contacted,250,,,,"11/5 tiffany asked me to email info so Hovik can look over when he's in. LR 250 but she mentioned its negotiable if the volume is high ;  11/7 Tracey (Office MGR) replied to email, they mostly do body work with some repairs, might not be fit for VF, called LVM for Tracey & Hovik."
EV Auto Service,REPAIR SHOP,110 S Claremont St,San Mateo,CA,94401,(650) 343-0988,evautoservicesm@gmail.com,Oscar,Contacted,,,,,"11/11 sent info email, Oscar will be back Fri  11/14:  not avalable try next Fri;  11/24  OOO for holidays"
EV Doctor,REPAIR SHOP,160 - 220 Victoria Drive Vancouver BC CANADA V5L 0C7,Toronto,,,(866) 993-2023,info@ev-md.com,"Damian Breland / 
Matt Jandrisits",Contacted,,,,,4/28 made contact via email.
EV Elite Inc,SPECIALIST,7039 Topanga Canyon Blvd C,Canoga Park,CA,91303,(818) 992-0697,evelitecars@gmail.com,Jerry,Contacted,185,,,,"8/13 MGR Scott asked me to email info, Owner Jerry will review; 11/5 left my # w/ Scott for Jerry."
EV Moove,SPECIALIST,145 Turnbull Canyon Rd,City of Industry,CA,91745,(213) 703-1045,evmoove@gmail.com,Valdimir,Contacted,250,,,Yes,"5/12 VM not set up retry. 8/19 Vlad, asked for info to be sent."
Eveland Bros.,BODYSHOP,7200 W. Frontage Rd.,Merriam,KS,66203,(913) 262-6050,,,Contacted,,,,,12/10 LVM w/ Marrio asking for a CB
EVGarage,REPAIR SHOP,7625 NW 54th St,Miami,FL,33166,(305) 433-3321,service@evgarage.us,tawfiQ,Contacted,,,,,"1/13 sent info, tawfiq thinks founder might be interested, need to connect with Gerardo-CEO"
EVProtech / Alternative Automotive,REPAIR SHOP,9944 Glenoaks Blvd,Sun Valley,CA,91352,(818) 585-5251,alternativeauto1@gmail.com,Justin,Lead,,,,,"11/5 Justin was busy, asked for info & a CB tomorrow"
EV Repair,SPECIALIST,1015 E Anaheim st,Long Beach,,,(424) 355-5775,,,Contacted,,,,,8/19 LVM; 1/30 VM not set up; 2/11 VM no set up
EV Reviver,SPECIALIST,2015 N Tustin Ave Ste B2015 N Tustin Ave Ste B,Santa Ana,,,(949) 506-4356,leon@theevreviver.com,Leon Thompson,Contacted,,,https://www.jpseuro.com/,,"5/12 works on EV does batteries, sent info"
EV's Republic,SPECIALIST,2183 Benita Drive,Rancho Cordova,,,(916) 907-2272,info@evsrepublic.com,,Contacted,,,,,5/13 SA took my info down will pass along to owner; they are looking for partners;  5/19 LM & sent email; 10/23 left info w/ service dep.  waiting on a CB
Exclusive Auto Care and Auto Body,REPAIR SHOP,830 Kaynyne St,Redwood City,CA,94063,(650) 367-7322,exclusiveautocarerwc@gmail.com,Tommy,Contacted,,,,,"8/19 shop is going to stop taking in mechanical repairs, offered our partnership, SA asked i email the owner Tommy.  9/2 shop took my # down to ask Tommy  to reachout"
Exclusive Motors,REPAIR SHOP,2499 Arden Way,Sacramento,CA,95825,(916) 624-4700,roman@exclusivemotors4u.com,Roman Service MGR,Contacted,250,200,,,"Roman is the Service MGR, very interested, 15 bay shop AC, Alignments, good tech's with experiance"
Exotic Motorsports,REPAIR SHOP,5301 W Market St. Greensboro,,NC,27409,(336) 280-4500,,,Contacted,,,,,4/1 hasn't had a tech for the last few months
Exp Auto Repair,REPAIR SHOP,3598 Mission Ave Oceanside,,CA,92058,(760) 260-9752,expautorepairinc.@gmail.com rastx60@aol.com,Hunter,Contacted,185,,,,
Expert Auto Center,REPAIR SHOP,,Wichita,,67208,(316) 290-9977,,,Contacted,,,,,"12/8 LVM for Tim at head office, 5 shops in Wichita KS."
Exper Auto Center,REPAIR SHOP,5230 E Central Ave,Wichita,KS,67208,(316) 440-6600,,,Lead,,,,,
Extra Care Auto Repair,REPAIR SHOP,840 San Mateo Ave,San Bruno,,,(650) 952-5700,,,Contacted,,,,,9/2 striaght to VM.
Factor EV,REPAIR SHOP,1301 Reid Harkey Rd,Matthews,NC,28105,,factor.ev.service@gmail.com,tyler,Contacted,150,150,,,"12/17 new EV shop in NC, CoFounder Tyler is interested, (knows about us through Purley EV in ATL);  asked for more info. & agrement to review w/ partner  1/8 hasn't had a chance to discuss w/ partner yet will call me back when he has."
Fast Tire & Auto Repair,REPAIR SHOP,1050 W Commercial Blvd Fort Lauderdale,,FL,33309,(754) 900-2004,fasttireftl@gmail.com,JR- store mgr,Contacted,,,,,4/2 JR asked for more info to pass along to owner
Five Star Automotive Repair,REPAIR SHOP,23930 Sunnymead BLVD #b1,Moreno Valley,,92553,(951) 485-6560,5starauto000@gmail.com,Joe,Contacted,,,,Yes,5/9 Owner asked for F/U after summer; not ready
Foreign Accents,REPAIR SHOP,1616 Spring Garden St,Greensboro,NC,27403,(336) 704-8141,davidlasher@eurohaus.pro,,Contacted,,,,,"1/8 this location was open to a discussion, provided MGR's email, took my # down and will have; 4/1 sent info to updated email, call back"
Fremont & Purdon Automotive Group,REPAIR SHOP,836 E Orange Grove Blvd,Pasadena,,,(626) 795-6282,customerservice@fremontandpurdon.com,stevejavourian,In Review,,,,,"4/28 SA asked for more info to have owner review; 5/5 owner will be in tue. CB; 5/14 LM w/ SA ; 5/16 Steve's covering for a sick sales person try next week; 8/19 SA will have Steve call me back, was in OOO tdy."
Fresno Auto Service,REPAIR SHOP,103 N Broadway St,Fresno,CA,93701,(559) 441-7141,,,Contacted,,,,,10/24 SA didn't want to connect me w/ owner
Future Auto Service,REPAIR SHOP,820 S Victory Blvd,Burbank,,,(818) 239-7201,futureautoservice2020@gmail.com,Henry / Arthur,Contacted,,,,,4/28 sent info & contract; 5/5 henry&art are busy will call me back; 5/14 F/U Email sent
Gallardo's Automotive Service Inc,REPAIR SHOP,881 East Thousand Oaks Blvd.,Thousand Oaks,CA,91360,(805) 494-9358,,,Contacted,,,,,11/26 call back Dec.
Gateway Automotive Repair,REPAIR SHOP,101 N Sunnyside Ave,Clovis,CA,93611,(559) 323-1948,,,Lead,,,,,
Garden Plain Body & Repair,BODYSHOP,3550 S 295th St W,Garden Plain,KS,67050,(316) 531-2571,,,Contacted,,,,,"1/9 no answer, just rings then disconnects"
Greenhaven Shell Service Center,REPAIR SHOP,"6431 E, 6431 Riverside Blvd suite a",Sacramento,CA,95831,(916) 422-6053,,,Contacted,,,,,10/9 gas station service shop
Gregg Smith Automotive,REPAIR SHOP,6202 SE Abshier Blvd,Belleview,FL,34420,(352) 347-2222,,,Contacted,,,,,1/14 LVM
G&J Auto Repair Bellflower,REPAIR SHOP,17313 Clark Ave,Bellflower,,,(562) 219-5069,gjautorepairshop@gmail.com,George Spoke with Luis - 3:30pm,Contacted,,,,Yes,5/6 resent info; 5/14 F/U email & LVM
G&J Auto Repair Inglewood,REPAIR SHOP,4055 W Century Blvd #6,Inglewood,,,(213) 687-1569,gjautorepairshop@gmail.com,,Contacted,,,,,5/6 resent info; 5/14 LVM & F/U email
Gate City Import Auto Service,REPAIR SHOP,120 Winola Ct,Greensboro,NC,27409,(336) 549-0301,,,Contacted,,,,,
Garage 88,REPAIR SHOP,4008 West Burbank Blvd,Burbank,,,(818) 736-5388,info@garage-88.com,nova,Contacted,,,,Yes,5/6 sent email; 5/15
GPR Automotive,REPAIR SHOP,644 Pacific Ave,Oxnard,,93030,(805) 758-0545,,,Contacted,,,,,6/9 SA asked me to txt info - will CB when they have time.
Greensboro Autotech,REPAIR SHOP,200 S Regional Rd #108,Greensboro,NC,27409,(336) 665-7070,,,Contacted,,,,,3/30 LVM
GT Imports Automotive Repair,REPAIR SHOP,10180 Hole Ave,Riverside,CA,92503,(951) 351-8970,shop.gtimports@gmail.com,Walter-SM,Contacted,,,,,10/20 Waler mgr requested more info to discuss with owners
GT Pit Stop,REPAIR SHOP,3222 Motor Cir,Riverside,CA,92504,(909) 296-4723,gtpitstop2019@gmail.com,Carlos Campos,In Review,180,,,,"10/22 Carlos asked for info, and a follow up call  Thurs; 10/23  Carlos asked for contract"
GT Pit Stop,REPAIR SHOP,28822 Old Town Front St #104,Temecula,CA,92590,(951) 621-5845,gtpitstop2019@gmail.com,Carlos Campos,In Review,180,,,,"10/22 Carlos asked for info, and a follow up call  Thurs; 10/23  Carlos asked for contract"
GTA Autobody inc.,BODYSHOP,20119 Nordhoff ST,Chatsworth,,91311,(818) 349-4920,Nick@gtaautobody.com,Nich Aghamalyan,Contacted,,,,,
HC Auto and Body,REPAIR SHOP,2424 S Wilmington St,Raleigh,NC,27603,(984) 205-7271,hcautoandbody@gmail.com;  service@hcautocenter.com,Adriana,Contacted,143.17,,,,"1/20 Adriana in service asked for more info emailed, will discuss w/ owner... this location is doing auto & body repairs"
Hailey Import Service,REPAIR SHOP,2606 Branchwood Drive,Ste B. Greensboro,NC,27408,(336) 286-1024,service@haileyimports.com ;  battlegroundimports@gmail.com,,Contacted,,,,,3/31 sent info email
Hans Wittler's Automotive,REPAIR SHOP,121 Elizabeth St NE,Albuquerque,NM,87123,(505) 294-7684,roger@hanswittler.com; andres@hanswittler.com,,Contacted,205,189,,,"4/9 conected shop, suggested I speak  with VP's  Roger & Adnreas;  4/10 Roger is interested, sent contract to move forward."
Hart Motors & Star Smog Hybrid Vehicles,REPAIR SHOP,7957 Van Nuys Blvd,Panarama City,,,(818) 781-2700,hartmotors@gmail.com,ara hart,Contacted,,,,,"4/28 Ara asked for more info; 5/6 confirmed he has email, needs to review & CB"
Henry's Auto Service,REPAIR SHOP,2431 Manning St,Sacramento,CA,95815,(916) 515-9100,sacramentoautoshop@gmail.com,,Contacted,215,,,,10/10 advisor asked for email w/ info to have MGR & Owner look over.
Herb's Garage Auto Service Center,REPAIR SHOP,242 Victoria St,Costa Mesa,,,(949) 200-8975,herbsgarageca@gmail.com,Daron & Ashlin,Contacted,,,,,4/28 interested/put me on hold callback; 5/6 took my # will CB; 5/14 sent info email
Hefti Automotive Service,REPAIR SHOP,3645 Poplar Tent Rd,Concord,NC,28027,(704) 787-9009,,,Lead,,,,,12/23 LVM
Hi Tech Auto Care,REPAIR SHOP,6939 Power Inn Rd,Sacramento,CA,95828,(916) 383-8447,jose@htacsac.com,Jose,Contacted,160,,,,
Hillside Auto Clinic,REPAIR SHOP,26122 Western Ave,Lomita,,,(310) 956-5794,sam@ftg.la ;     Hillsideautoclinic@gmail.com,Sam,Contacted,,,,Yes,"4/28 sent info bounced back, 5/7 sent info email to website email; 5/14 resent info to updated email address"
Hodge Garage,REPAIR SHOP,931 Battleground Ave,Greensboro,NC,27408,(336) 386-1759,hodgegarage@msn.com,,Contacted,,,,,"3/31 shop is loosing a tech, not ready to partner right now possibly in the future."
Hollywood Auto Center,REPAIR SHOP,6733 Lankershim Blvd,North Hollywood,,,(818) 463-2470,service@hollywoodautocenter.com,Sean is owner. Spoke with Betty,Contacted,,,,,Also does collision and is a used car dealer.; 5/6 resent info/intro'd myself as POC
Honest Auto Care And Tire Service,REPAIR SHOP,729 S St,Sacramento,CA,95811,(916) 942-9554,sachonestauto@gmail.com,"Warner SM,  Eugene Owner",Contacted,170,180,,,"10/10 left VM.  Warren is very interested, has worked OEM warranties before, asked good questions, and more info to discuss w/ Owner."
honest-1 Auto Care diamond bar,REPAIR SHOP,780 N. Diamond Bar Blvd,Diamond Bar,CA,91765,(909) 396-9700,harry.downs45@yahoo.com,,Contacted,179,,,Yes,5/7 owner will be in Fri 5/9; 7/16LR$179.00; 8/19 Harry reached out asked for contract to be resent.; 9/26 left msg w/ Jim.
Htet Aung,REPAIR SHOP,308 7th Ave,San Mateo,,,(650) 867-4606,Nextgearbimmer@gmail.com,,In Review,,,,Yes,Htet Aung 12/4 Spoke briefly with Htet. Was with a Customer. will call me back.  12/5 called back. Interested in program. sent F/u and Contract. 12/10 Left VM.   4/17 - LVM; 5/6 busy Htet will CB;  5/9 Sent contract.
Hudson Autoworks,REPAIR SHOP,812 Post St,Greensboro,NC,27405,(336) 772-0685,jasonrobinson@hudsonautoworks.com,Jason,Contacted,150,,,,"3/30 Jason passed info over to owner, owner didn't seem interested, left message for owner asking for a callback"
Hybrid Auto Club,REPAIR SHOP,6850 Westminster Blvd.,Westminster,CA,92683,(714) 833-3122,anthonysedano2016@gmail.com,,Lead,150-200,,,,
HYBRID AND ELECTRIC CAR SALES,REPAIR SHOP,616 BRADLEY CT FRANKLIN,"Franklin, TN",TN,37067,(615) 802-5550,info@hybridandelectriccarsales.com ; Chip.geppi@gmail.com,CHIP GEPPI,Contacted,125,,,Yes,"4/29 chip was busy, asked for email info; 12/5 Chip was very interested in our OEM program, was busy asked from more info to look over"
Hybrid & EV Rescue / Oceanside Auto Pros,REPAIR SHOP,3235 Production Ave,Oceanside,CA,92058,(619) 203-2993,heverscue@gmail.com; oceansideautopros@gmail.com,Christian - MGR,Contacted,175,,,,"4/14 Ariel, provided me the shop info Oceanside AutoPros and MGR - Christian name. sent infor to Oceanside AutoPros"
Hybrid Battery Repair Toyota / Centric Auto,REPAIR SHOP,375 S Rancho Santa Fe Rd Ste108,San Marcos,CA,92078,(760) 490-0487,victor@centricauto.com,Victor,Contacted,240,,,,10/31 victor's interested and asked for more info to look over
Hybrid Battery Services LLC.,REPAIR SHOP,5668 Camp st.,Cypress,,,(720) 676-2984,hybridbatteryservicesllc@gmail.com,Lueleni Maka,In Review,,,https://ochybridtech.com/pages/contact,,"4/29 info sent; 5/6 LVM; 5/8 will hear from Len by end of week; 9/26 Len is in ICU, try back in a week"
Hybrid Edge KC,REPAIR SHOP,1718 Brooklyn Ave,Kansas City,MO,64127,(816) 800-5008,,,Contacted,,,,,12/10 LVM asking for a CB
Hybrid Energy Solutions,REPAIR SHOP,404 S Cherry Ave.,Ontario,CA,91761,(442) 234-3367,HybridEnergySolutions24@gmail.com,Victor,Contacted,150,,,,11/10 LVM on Mian # 442;  LVM on Shop #760... 11/10 Victor is very interested will discuss w/ his partners; 11/26 will sign & complete forms today.
Hybrid Works,REPAIR SHOP,221 Commercial St,Vallejo,CA,94589,(707) 554-3770,hybridworks1@yahoo.com,anthony,Contacted,180,,,,"11/03 LVM; Anthony is very interested,  wants to get into EV's; 11/7 Anthony is OOO today, check back Monday ... 11/11 anthony was busy will call me back;"
Hybrid World INC,REPAIR SHOP,12139 Firestone Blvd,Norwalk,CA,90650,(657) 267-9029,hybridworldinc25@gmail.com,Fabian,Contacted,,,,,"11/3 sent email, LVM"
Hybrid World INC,REPAIR SHOP,"1800 W Commonwealth Ave, Fullerton, Ca 92833",Fullerton,,92833,(562) 503-3183,hybridworldinc25@gmail.com,Fabian,Contacted,,,,,"11/3 sent email, LVM"
Hybrid World INC,REPAIR SHOP,2362 Old Middlefield Way,Mountain View,CA,94043,(408) 449-1311,hybridworldinc25@gmail.com,Fabian,Contacted,,,,,"11/3 sent email, LVM"
I-\70,REPAIR SHOP,3111 N Stadium Dr,Kansas City,MO,64128,(816) 921-0505,shane.edwards@i70autoservice.com,Kendra OBrien-GM; Shane Edwards- Owner,Contacted,,,,,"12/30 Kendra GM, is interested and will discuss w/ Shane - owner, follow up Jan 5th"
Independent EV Repair SHop,REPAIR SHOP,"7905 Marx Dr, North",Fort Myers,FL,33917,(813) 409-8211,don@independentevrepair.com,,Contacted,,,,,1/6 Don will discuss w/ his brother/partner and call me back
Irvine Auto Repair,REPAIR SHOP,8797 Irvine Center Dr,Irvine,CA,92618,(949) 264-0318,Wrsaint3@gmail.com,Ronnie,Contacted,200,,,,
J&J Automotive,REPAIR SHOP,8390 Gerber Rd Ste B,Sacramento,CA,95828,(916) 509-9264,jandj.autocare@yahoo.com,Shannon Joe,Contacted,,,,,"10/13 Shannon & Joe are interested, will discuss w/ their techs to see who wants to go."
Jeff's Golden Gate TIre & Auto,REPAIR SHOP,2215 N Church St,Greensboro,NC,27405,(336) 272-1635,inglewes@gmail.com,Wes ingle,Contacted,120,,,,3/30 Ashley Ingle front office. provided Wes email to send info to
